SCHEDULE_NUMBER,CERTIFICATE_NUMBER,ISSUE_DATE,SUBTAX,REDEMPTION_DATE,TAX_YEAR,PRINCIPAL,INTEREST,PREMIUMBIDFEE,TREASURERDEEDFEE
1615514,4002,11/19/03,N,05/20/04,2002,2104.88,135.06,0,0
487023,4003,11/14/01,Y,09/08/09,2000,53.66,1.25,0,0
487023,4003,08/07/02,Y,09/08/09,2001,45.38,1.06,0,0
487023,4003,08/12/03,Y,09/08/09,2002,42.25,0.99,0,0
487023,4003,08/05/04,Y,09/08/09,2003,38.66,0.9,0,0
487023,4003,11/16/05,N,09/08/09,2004,32.68,17.92,0,0
487023,4003,08/09/06,Y,09/08/09,2005,22.64,10.04,0,0
487023,4003,08/14/07,Y,09/08/09,2006,23.29,7.06,0,0
487023,4003,08/01/08,Y,09/08/09,2007,22.9,3.74,0,0
487023,4003,08/05/09,Y,09/08/09,2008,23.31,0.54,0,350
1178440,18714,10/02/01,Y,03/22/06,2000,25.15,16.98,0,0
1178440,18714,08/30/02,Y,03/22/06,2001,53.74,29.56,0,0
1178440,18714,08/06/03,Y,03/22/06,2002,53.22,21.29,0,0
1178440,18714,08/03/04,Y,03/22/06,2003,52,13,0,0
1178440,18714,08/31/05,Y,03/22/06,2004,49.43,4.94,0,0
285102,45681,08/01/01,Y,08/07/02,2000,424.62,73.6,0,0
1178431,47162,10/31/01,Y,05/04/05,2000,89.78,7.18,0,0
1178431,47162,08/30/02,Y,05/04/05,2001,65.86,5.27,0,0
1178431,47162,10/08/03,Y,05/04/05,2002,69.87,5.59,0,0
1178431,47162,08/30/04,Y,05/04/05,2003,50.47,4.04,0,0
1106287,53621,11/14/01,Y,09/24/04,2000,775.19,46.51,0,0
1106287,53621,11/20/02,Y,09/24/04,2001,1042.94,62.58,0,0
1106287,53621,08/20/03,Y,09/24/04,2002,937.53,56.25,0,0
1106287,53621,08/30/04,Y,09/24/04,2003,991.75,19.84,0,350
106046,53960,08/16/01,Y,05/10/05,2000,6450.27,489.15,0,0
106046,53960,08/09/02,Y,05/10/05,2001,6052.4,458.97,0,0
106046,53960,08/12/03,Y,05/10/05,2002,5377.44,407.79,0,0
106046,53960,08/24/04,Y,05/10/05,2003,4883.52,370.33,0,350
246689,54062,08/22/01,Y,01/25/02,2000,255.24,5.53,0,0
246697,54063,08/20/01,Y,05/22/02,2000,255.24,16.59,0,0
504904,55438,08/03/01,Y,09/05/01,2000,239.69,5.59,0,0
593249,55500,08/14/01,Y,10/30/01,2000,1070.85,37.48,0,0
246727,56526,08/27/01,Y,01/22/04,2000,240.23,84.08,0,0
246727,56526,08/30/02,Y,01/22/04,2001,312.69,65.66,0,0
246727,56526,08/29/03,Y,01/22/04,2002,312.69,21.89,0,0
246760,56527,08/27/01,Y,01/22/04,2000,32.63,11.42,0,0
246760,56527,08/30/02,Y,01/22/04,2001,41.38,8.69,0,0
246760,56527,08/29/03,Y,01/22/04,2002,41.38,2.9,0,0
246778,56528,08/27/01,Y,01/22/04,2000,32.63,11.42,0,0
246778,56528,08/30/02,Y,01/22/04,2001,41.38,8.69,0,0
246778,56528,08/29/03,Y,01/22/04,2002,41.38,2.9,0,0
524719,56758,08/08/01,Y,06/10/05,2000,1398.11,766.63,0,0
524719,56758,08/06/02,Y,06/10/05,2001,1437.65,587.04,0,0
524719,56758,08/13/03,Y,06/10/05,2002,1436.35,385.42,0,0
524719,56758,08/26/04,Y,06/10/05,2003,1325.87,170.15,0,0
525081,56759,08/21/01,Y,12/24/01,2000,938.37,54.74,0,0
224154,57465,08/14/01,Y,01/30/02,2000,842.31,58.96,0,0
535010,57730,08/14/01,Y,03/04/04,2000,750.46,17.51,0,0
535010,57730,08/08/02,Y,03/04/04,2001,918.72,21.44,0,0
535010,57730,08/20/03,Y,03/04/04,2002,803.67,18.75,0,0
1178326,57947,08/31/01,Y,01/16/03,2000,131.61,27.64,0,0
1178326,57947,09/03/02,Y,01/16/03,2001,185.54,10.82,0,350
12912,58318,10/30/01,Y,01/18/02,2000,960.91,44.84,0,0
15652,58320,09/25/01,Y,12/14/01,2000,757.94,35.37,0,0
29319,58330,08/10/01,Y,02/01/02,2000,772.07,63.05,0,0
38547,58339,08/22/01,Y,04/29/03,2000,3786.59,927.71,0,0
38547,58339,08/06/02,Y,04/29/03,2001,3582.46,376.16,0,0
71935,58367,08/24/01,Y,01/29/02,2000,1581.69,110.72,0,0
82694,58374,08/06/01,Y,12/12/01,2000,1076.48,62.79,0,350
83496,58375,08/06/01,Y,01/31/02,2000,1235.64,86.49,0,0
152218,58418,08/24/01,Y,05/31/02,2000,1515.84,176.85,0,0
208019,58452,10/15/01,Y,04/23/02,2000,1363.6,111.36,0,0
214795,58458,08/02/01,Y,09/20/01,2000,219.39,5.12,0,0
252999,58508,08/06/01,Y,01/22/02,2000,19.85,1.39,0,0
286915,58554,08/29/01,Y,02/28/02,2000,1019.04,83.22,0,0
290840,58565,08/24/01,Y,01/30/03,2000,1119.76,235.15,0,0
290840,58565,08/12/02,Y,01/30/03,2001,1209.75,84.68,0,0
300969,58575,08/31/01,Y,01/31/02,2000,83.45,5.84,0,0
329045,58597,08/14/01,Y,02/06/03,2000,57.49,12.74,0,0
329045,58597,08/26/02,Y,02/06/03,2001,56.46,4.61,0,0
349585,58611,09/20/01,Y,10/01/01,2000,952.48,22.22,0,0
358614,58615,08/30/01,Y,03/06/02,2000,475.68,44.4,0,0
465917,58677,08/22/01,Y,07/15/02,2000,391.73,54.84,0,0
600393,58792,08/07/01,Y,06/04/02,2000,129.86,16.67,0,0
600431,58793,08/07/01,Y,04/09/02,2000,129.86,13.64,0,0
600440,58794,08/07/01,Y,04/23/02,2000,129.86,13.64,0,0
702862,58844,08/23/01,Y,01/17/02,2000,1084.88,75.94,0,0
728764,58860,08/15/01,Y,01/24/03,2000,1169.02,245.49,0,0
728764,58860,08/01/02,Y,01/24/03,2001,1177.9,82.45,0,350
751804,58867,08/02/01,Y,12/04/01,2000,259.91,15.16,0,0
788406,58886,08/01/01,Y,03/14/02,2000,1556.4,145.26,0,0
1085395,58941,08/02/01,Y,01/28/02,2000,218.5,15.3,0,0
1131001,58962,08/27/01,Y,08/10/10,2000,321.09,408.32,0,0
1131010,58963,08/27/01,Y,08/10/10,2000,321.09,408.32,0,0
1131036,58964,08/27/01,Y,04/22/11,2000,321.09,438.29,0,0
1178431,58992,10/31/01,Y,11/16/04,2000,62.2,27.58,0,0
1178431,58992,08/30/02,Y,11/16/04,2001,49.64,16.22,0,0
1178431,58992,10/08/03,Y,11/16/04,2002,60.06,9.81,0,0
1178431,58992,08/30/04,Y,11/16/04,2003,48.22,2.25,0,350
1200038,58996,08/27/01,Y,07/30/02,2000,19.61,2.75,0,0
1216988,59001,11/06/98,N,,1997,306.86,,0,344
1216988,59001,08/01/99,Y,,1998,290.31,,0,0
1216988,59001,09/20/00,Y,,1999,274.22,,0,0
1216988,59001,08/21/01,Y,,2000,297.71,,0,0
1216988,59001,08/28/02,Y,,2001,375.19,,0,0
1216988,59001,08/28/03,Y,,2002,374.64,,0,0
1216988,59001,09/21/04,Y,,2003,381.19,,0,0
1216988,59001,09/23/05,Y,,2004,389.42,,0,0
1216988,59001,10/24/06,Y,,2005,395.69,,0,0
1216988,59001,10/16/07,Y,,2006,395.18,,0,0
1216988,59001,09/08/08,Y,,2007,369.73,,0,0
1216988,59001,08/20/09,Y,,2008,365.37,,0,0
1216988,59001,10/18/10,Y,,2009,371.49,,0,0
1216988,59001,09/28/11,Y,,2010,369.75,,0,0
1216988,59001,09/27/12,Y,,2011,334.77,,0,0
1216988,59001,11/14/13,Y,,2012,358.7,,0,0
1216988,59001,08/29/14,Y,,2013,333.33,,0,344
1220713,59006,09/20/01,Y,12/24/01,2000,315.28,14.71,0,350
1250183,59029,08/30/01,Y,08/29/02,2000,892.78,135.4,0,0
1301993,59046,08/29/01,Y,07/07/03,2000,72.17,20.21,0,0
1301993,59046,08/07/02,Y,07/07/03,2001,70.89,9.92,0,0
1325949,59059,08/06/01,Y,04/07/03,2000,334.47,81.95,0,0
1325949,59059,08/08/02,Y,04/07/03,2001,456.03,47.88,0,350
1397338,59107,08/07/01,Y,12/24/01,2000,27.8,1.62,0,0
10898,59282,08/01/01,Y,09/25/03,2000,278.88,84.59,0,0
10898,59282,08/01/02,Y,09/25/03,2001,273.7,44.7,0,0
